number,sys_name,type,Date,catchment_area_km2,agriculture_per,mountain_per,wetland_per,lake_per,forest_per,urban_per,other_per,wrt_yrs,TN_mgL,TP_ugL,DOC_mgL
1,Torneträsk ,Lake ,15/07/2013 ,3349,0,36,3,14,18,0,30,8.7,0.05,9,0.8
2,Torne älv ,River ,28/07/2013 ,39789,0,6,16,5,53,0,19,1.2,0.17,15,5.6
3,Töre älv ,River ,28/07/2013 ,449,7,0,1,4,86,2,0,0.5,0.6,20,9.6
4,Alterälven ,River ,28/07/2013 ,459,3,0,3,4,89,0,0,0.7,0.52,23,9.9
5,Pite älv ,River ,28/07/2013 ,11245,0,0,0,25,62,12,0,1.5,0.08,21,3.2
6,Skellefte älv ,River ,28/07/2013 ,11725,1,11,9,13,61,0,5,4.5,0.14,13,4.2
7,Ume älv ,River ,30/07/2013 ,26759,1,10,8,8,63,0,10,1.8,0.09,18,4
8,Öre älv ,River ,29/07/2013 ,3001,2,0,12,3,84,0,0,0.5,0.36,17,7.7
9,Delångersån ,River ,15/08/2013 ,1828,4,0,1,12,83,0,0,5,0.19,17,7.3
10,Ljusnan ,River ,15/08/2013 ,19820,2,1,8,5,77,0,6,1.4,0.28,18,7.5
11,Dalälven ,River ,15/08/2013 ,28909,3,0,8,7,77,1,4,2.1,0.07,17,7.5
12,Nyköpingsån ,River ,3/7/2013,3631,19,0,1,13,66,2,0,4.3,0.67,26,15.2
13,Motala Ström ,River ,3/7/2013,15393,19,0,1,20,58,2,0,26.5,0.43,24,9.7
14,Vättern ,Lake ,3/7/2013,6547,15,0,1,35,46,2,0,55.5,0.35,10,3.3
15,"Götä älv, Trollhättan ",Lake ,16/08/2013 ,47021,11,0,4,19,61,1,4,10.6,0.38,16,4.9
16,"Götä älv, Alelyckan ",River ,16/08/2013 ,48146,11,0,4,18,62,1,3,10.2,0.45,17,5.1
17,Lyckebeån ,River ,25/06/2013 ,802,7,0,1,4,86,2,0,0.6,1.14,29,20.6
18,Helge å ,River ,25/06/2013 ,131,19,0,3,5,71,3,0,0.5,1.06,24,16.6
